complexity,object_count,triangles_per_mesh,transition,from_mode,to_mode,ray_count,from_median_ms,to_median_ms,median_reduction_ms,median_speedup,from_p95_ms,to_p95_ms,p95_reduction_ms,p95_speedup
4x,400,480,true-brute_to_mesh-bvh,true-brute,mesh-bvh,33,41.8825415,0.419,41.463541500000005,99.95833293556086,60.17381729999986,0.8304249999999995,59.34339229999986,72.4614712948188
4x,400,480,true-brute_to_mesh-bvh,true-brute,mesh-bvh,65,87.9583335,0.8793335,87.079,100.02841185966416,143.1156899,2.400711049999999,140.71497885,59.61387560572942
4x,400,480,true-brute_to_mesh-bvh,true-brute,mesh-bvh,129,210.675833,1.6545835,209.0212495,127.32861955894037,440.4585583499998,2.0905604499999995,438.3679978999998,210.68922371988808
4x,400,480,true-brute_to_mesh-bvh,true-brute,mesh-bvh,257,343.43672949999996,3.3275005,340.10922899999997,103.21162370974848,457.89445835,4.968289549999997,452.92616879999997,92.16340024908577
4x,400,480,true-brute_to_mesh-bvh,true-brute,mesh-bvh,361,484.110396,4.320167,479.79022899999995,112.0582597848648,628.5541374999995,5.594471149999996,622.9596663499995,112.35273552174809
4x,400,480,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0,4.2e-05,4.2e-05,0.0,1.0,8.4e-05,4.2e-05,4.2e-05,2.0
4x,400,480,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,5,0.055,0.003916,0.051084,14.044943820224718,0.06418365,0.007012499999999996,0.05717115,9.152748663101608
4x,400,480,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,9,0.1038335,0.008875,0.0949585,11.699549295774649,0.12075419999999999,0.01358605,0.10716814999999999,8.88810213417439
4x,400,480,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,17,0.2198335,0.017688,0.20214549999999998,12.428397783808231,0.4673792,0.02467325,0.44270595,18.942749739089905
4x,400,480,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,33,0.419,0.036396,0.382604,11.512254093856468,0.8304249999999995,0.0469601,0.7834648999999996,17.68362929380473
4x,400,480,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,65,0.8793335,0.07375,0.8055835,11.923166101694916,2.400711049999999,0.09810624999999996,2.3026047999999992,24.470520991272217
4x,400,480,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,129,1.6545835,0.146208,1.5083755,11.316641360253884,2.0905604499999995,0.17941839999999998,1.9111420499999996,11.651873219246186
4x,400,480,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,257,3.3275005,0.283271,3.0442295,11.746703686575753,4.968289549999997,0.35693125,4.611358299999997,13.919458018876178
4x,400,480,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,361,4.320167,0.4065,3.913667,10.627717097170972,5.594471149999996,0.48310865000000003,5.111362499999996,11.580151069536834
16x,25,1920,true-brute_to_mesh-bvh,true-brute,mesh-bvh,0,4.2e-05,4.2e-05,0.0,1.0,8.4e-05,4.2e-05,4.2e-05,2.0
16x,25,1920,true-brute_to_mesh-bvh,true-brute,mesh-bvh,5,1.742521,0.003417,1.739104,509.9563944980978,2.4290214999999997,0.005169049999999999,2.4238524499999996,469.9164256488137
16x,25,1920,true-brute_to_mesh-bvh,true-brute,mesh-bvh,9,3.065979,0.005375,3.060604,570.4146976744187,3.8175003499999995,0.007379199999999998,3.8101211499999996,517.3325495988726
16x,25,1920,true-brute_to_mesh-bvh,true-brute,mesh-bvh,17,5.534292000000001,0.011208,5.523084000000001,493.78051391862965,8.482924999999998,0.0137542,8.469170799999999,616.7516104171815
16x,25,1920,true-brute_to_mesh-bvh,true-brute,mesh-bvh,33,9.595916500000001,0.022292,9.573624500000001,430.4645837071596,11.566360399999999,0.02508715,11.54127325,461.04720544182976
16x,25,1920,true-brute_to_mesh-bvh,true-brute,mesh-bvh,65,24.813646,0.0446455,24.769000499999997,555.7927674681658,71.76645414999996,0.051335099999999995,71.71511904999996,1397.9996951403614
16x,25,1920,true-brute_to_mesh-bvh,true-brute,mesh-bvh,129,43.327563,0.09635450000000001,43.2312085,449.66828741781643,56.72343124999997,0.115692,56.607739249999966,490.2969198388823
16x,25,1920,true-brute_to_mesh-bvh,true-brute,mesh-bvh,257,79.4296875,0.189354,79.2403335,419.47720935390856,100.99918604999996,0.23399999999999987,100.76518604999997,431.6204532051283
16x,25,1920,true-brute_to_mesh-bvh,true-brute,mesh-bvh,361,98.01049950000001,0.260417,97.7500825,376.3598363394095,124.16590864999996,0.34285659999999996,123.82305204999996,362.1511403018054
16x,25,1920,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0,4.2e-05,4.2e-05,0.0,1.0,4.2e-05,4.2e-05,0.0,1.0
16x,25,1920,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,5,0.003417,0.00225,0.001167,1.5186666666666668,0.005169049999999999,0.003252099999999999,0.0019169499999999997,1.5894498939147013
16x,25,1920,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,9,0.005375,0.0053545,2.0499999999999685e-05,1.003828555420674,0.007379199999999998,0.017287499999999987,-0.009908299999999988,0.42685177151120773
16x,25,1920,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,17,0.011208,0.009604,0.0016039999999999995,1.1670137442732194,0.0137542,0.012135399999999998,0.0016188000000000018,1.1333948613148312
16x,25,1920,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,33,0.022292,0.0210625,0.001229499999999998,1.058373887240356,0.02508715,0.03338335,-0.0082962,0.7514868939156795
16x,25,1920,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,65,0.0446455,0.040541,0.004104499999999997,1.1012431859105596,0.051335099999999995,0.05431039999999998,-0.0029752999999999863,0.9452167540655199
16x,25,1920,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,129,0.09635450000000001,0.079,0.01735450000000001,1.2196772151898736,0.115692,0.10686634999999998,0.008825650000000018,1.0825858654291085
