complexity,object_count,triangles_per_mesh,budget_ms,budget_kind,transition,from_mode,to_mode,from_selected_p95_ms,to_selected_p95_ms,from_ray_count,to_ray_count,ray_count_gain,from_safe_stop_rate,to_safe_stop_rate,safe_stop_rate_gain,ci_low,ci_high,n_paired
16x,25,1920,1.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,8.4e-05,0.34285659999999996,0,361,361,0.0,1.0,1.0,1.0,1.0,1440
16x,25,1920,1.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.34285659999999996,0.31260269999999996,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
16x,25,1920,2.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,8.4e-05,0.34285659999999996,0,361,361,0.0,1.0,1.0,1.0,1.0,1440
16x,25,1920,2.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.34285659999999996,0.31260269999999996,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
16x,25,1920,5.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,3.8175003499999995,0.34285659999999996,9,361,352,0.34097222222222223,1.0,0.6590277777777778,0.6347222222222222,0.6826388888888889,1440
16x,25,1920,5.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.34285659999999996,0.31260269999999996,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
16x,25,1920,8.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,3.8175003499999995,0.34285659999999996,9,361,352,0.34097222222222223,1.0,0.6590277777777778,0.6347222222222222,0.6826388888888889,1440
16x,25,1920,8.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.34285659999999996,0.31260269999999996,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
16x,25,1920,136.58249951499997,convergence,true-brute_to_mesh-bvh,true-brute,mesh-bvh,124.16590864999996,0.34285659999999996,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
16x,25,1920,136.58249951499997,convergence,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.34285659999999996,0.31260269999999996,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
16x,100,1920,0.5,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,4.2e-05,0.36292915,0,129,129,0.0,1.0,1.0,1.0,1.0,1440
16x,100,1920,0.5,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.36292915,0.3592569,129,361,232,1.0,1.0,0.0,0.0,0.0,1440
