comparison_kind,speed_mps,lower_speed_mps,upper_speed_mps,budget_ms,transition,left_mode,left_ray_count,right_mode,right_ray_count,metric,difference,ci_low,ci_high,n_paired
adjacent_speed,,3.0,4.0,5.0,,mesh-bvh,361,mesh-bvh,361,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed,,3.0,4.0,5.0,,scene-bvh,361,scene-bvh,361,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed,,3.0,4.0,8.0,,true-brute,129,true-brute,129,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed,,3.0,4.0,8.0,,mesh-bvh,361,mesh-bvh,361,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed,,3.0,4.0,8.0,,scene-bvh,361,scene-bvh,361,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed,,3.0,4.0,11.910703750000001,,true-brute,361,true-brute,361,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed,,3.0,4.0,11.910703750000001,,mesh-bvh,361,mesh-bvh,361,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed,,3.0,4.0,11.910703750000001,,scene-bvh,361,scene-bvh,361,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed_fixed_ray,,3.0,4.0,,,true-brute,0,true-brute,0,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed_fixed_ray,,3.0,4.0,,,mesh-bvh,0,mesh-bvh,0,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed_fixed_ray,,3.0,4.0,,,scene-bvh,0,scene-bvh,0,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed_fixed_ray,,3.0,4.0,,,true-brute,5,true-brute,5,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed_fixed_ray,,3.0,4.0,,,mesh-bvh,5,mesh-bvh,5,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed_fixed_ray,,3.0,4.0,,,scene-bvh,5,scene-bvh,5,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed_fixed_ray,,3.0,4.0,,,true-brute,9,true-brute,9,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed_fixed_ray,,3.0,4.0,,,mesh-bvh,9,mesh-bvh,9,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed_fixed_ray,,3.0,4.0,,,scene-bvh,9,scene-bvh,9,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed_fixed_ray,,3.0,4.0,,,true-brute,17,true-brute,17,safe_stop_rate,-0.2708333333333333,-0.29898437499999997,-0.23958333333333334,960
adjacent_speed_fixed_ray,,3.0,4.0,,,mesh-bvh,17,mesh-bvh,17,safe_stop_rate,-0.2708333333333333,-0.29898437499999997,-0.23958333333333334,960
adjacent_speed_fixed_ray,,3.0,4.0,,,scene-bvh,17,scene-bvh,17,safe_stop_rate,-0.2708333333333333,-0.29898437499999997,-0.23958333333333334,960
adjacent_speed_fixed_ray,,3.0,4.0,,,true-brute,33,true-brute,33,safe_stop_rate,-0.209375,-0.23645833333333333,-0.184375,960
adjacent_speed_fixed_ray,,3.0,4.0,,,mesh-bvh,33,mesh-bvh,33,safe_stop_rate,-0.209375,-0.23645833333333333,-0.184375,960
adjacent_speed_fixed_ray,,3.0,4.0,,,scene-bvh,33,scene-bvh,33,safe_stop_rate,-0.209375,-0.23645833333333333,-0.184375,960
adjacent_speed_fixed_ray,,3.0,4.0,,,true-brute,65,true-brute,65,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed_fixed_ray,,3.0,4.0,,,mesh-bvh,65,mesh-bvh,65,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed_fixed_ray,,3.0,4.0,,,scene-bvh,65,scene-bvh,65,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed_fixed_ray,,3.0,4.0,,,true-brute,129,true-brute,129,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed_fixed_ray,,3.0,4.0,,,mesh-bvh,129,mesh-bvh,129,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed_fixed_ray,,3.0,4.0,,,scene-bvh,129,scene-bvh,129,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed_fixed_ray,,3.0,4.0,,,true-brute,257,true-brute,257,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed_fixed_ray,,3.0,4.0,,,mesh-bvh,257,mesh-bvh,257,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed_fixed_ray,,3.0,4.0,,,scene-bvh,257,scene-bvh,257,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed_fixed_ray,,3.0,4.0,,,true-brute,361,true-brute,361,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed_fixed_ray,,3.0,4.0,,,mesh-bvh,361,mesh-bvh,361,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed_fixed_ray,,3.0,4.0,,,scene-bvh,361,scene-bvh,361,safe_stop_rate,0.0,0.0,0.0,960
