mode,budget_ms,seed,speed,collision_free_completion,reached_end,wall_contact,progress,distance_to_first_collision,collisions,distance,collisions_per_100m,predicted_k,avg_k,min_k,max_k,execution_overrun_pct
scene-bvh,1.00,1016,3.5,0,0,0,0.465097,-1.000000,0,56.838151,0.000000,361.00,360.661230,91,361,0.125471
scene-bvh,1.00,1017,3.5,0,0,0,0.281673,-1.000000,0,34.215956,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.00,1018,3.5,0,0,0,0.582990,-1.000000,0,71.975253,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.00,1019,3.5,1,1,0,1.000000,-1.000000,0,123.171979,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.00,1020,3.5,0,0,0,0.126198,-1.000000,0,15.470965,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.00,1021,3.5,0,1,0,1.000000,42.378266,1,122.647832,0.815343,361.00,361.000000,361,361,0.000000
scene-bvh,1.00,1022,3.5,0,0,0,0.256089,-1.000000,0,31.608506,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.00,1023,3.5,0,0,0,0.929979,-1.000000,0,115.069810,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.00,1024,3.5,0,0,0,0.281952,-1.000000,0,34.538350,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.00,1025,3.5,0,0,0,0.621070,-1.000000,0,76.620688,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.00,1026,3.5,0,0,0,0.574238,-1.000000,0,71.057035,0.000000,361.00,360.755346,169,361,0.171086
scene-bvh,1.00,1027,3.5,0,0,0,0.200117,24.088175,1,24.503731,4.081011,361.00,360.819578,267,361,0.191939
scene-bvh,1.00,1028,3.5,0,0,0,0.421188,-1.000000,0,51.663188,0.000000,361.00,360.747487,212,361,0.251256
scene-bvh,1.00,1029,3.5,0,1,0,1.000000,112.303315,1,123.926627,0.806929,361.00,360.693830,36,361,0.174622
scene-bvh,1.00,1030,3.5,0,0,0,0.624870,11.625912,1,77.067948,1.297556,361.00,360.899214,248,361,0.142959
scene-bvh,1.00,1031,3.5,0,1,0,1.000000,57.422939,1,124.303745,0.804481,361.00,360.476467,10,361,0.257898
true-brute,1.50,1000,3.5,0,0,0,0.215588,7.766667,2,26.337778,7.593655,17.00,14.855546,1,17,100.000000
true-brute,1.50,1001,3.5,0,0,0,0.651599,17.300000,4,79.966667,5.002084,14.00,15.539167,0,17,99.983333
true-brute,1.50,1002,3.5,0,0,0,0.053219,-1.000000,0,6.800000,0.000000,16.00,16.576860,5,17,100.000000
true-brute,1.50,1003,3.5,0,0,0,0.047677,-1.000000,0,6.113333,0.000000,14.00,16.308108,5,17,99.819820
true-brute,1.50,1004,3.5,0,0,0,0.060352,-1.000000,0,7.726667,0.000000,14.00,16.678042,5,17,100.000000
true-brute,1.50,1005,3.5,0,0,0,0.153020,-1.000000,0,18.953333,0.000000,16.00,17.143944,5,18,99.873177
true-brute,1.50,1006,3.5,0,0,0,0.658168,18.513333,6,79.966667,7.503126,14.00,16.157333,0,17,99.716667
true-brute,1.50,1007,3.5,0,0,0,0.660762,30.126667,4,79.966667,5.002084,17.00,16.218500,0,17,99.950000
true-brute,1.50,1008,3.5,0,0,0,0.660650,72.593333,1,79.966667,1.250521,17.00,16.039333,0,18,99.900000
true-brute,1.50,1009,3.5,0,0,0,0.297524,5.593333,3,36.193333,8.288819,13.00,17.367747,3,18,100.000000
true-brute,1.50,1010,3.5,0,0,0,0.597497,25.913333,3,73.006667,4.109214,15.00,16.774865,1,18,99.784560
true-brute,1.50,1011,3.5,0,0,0,0.100529,-1.000000,0,12.660000,0.000000,15.00,16.806513,5,17,100.000000
true-brute,1.50,1012,3.5,0,0,0,0.660398,14.160000,3,79.906667,3.754380,12.00,16.943500,1,18,99.766667
true-brute,1.50,1013,3.5,0,0,0,0.657232,20.873333,7,79.966667,8.753647,17.00,17.495500,1,18,99.966667
true-brute,1.50,1014,3.5,0,0,0,0.658850,36.500000,2,79.966667,2.501042,17.00,17.121333,4,18,99.616667
true-brute,1.50,1015,3.5,0,0,0,0.334251,5.393333,5,40.760000,12.266928,15.00,17.322023,1,18,99.968583
true-brute,1.50,1016,3.5,0,0,0,0.657633,19.220000,2,79.966667,2.501042,16.00,16.163333,1,17,99.966667
true-brute,1.50,1017,3.5,0,0,0,0.659229,19.753333,2,79.940000,2.501876,16.00,15.314333,0,17,99.966667
true-brute,1.50,1018,3.5,0,0,0,0.660345,9.046667,8,79.966667,10.004168,15.00,15.875167,0,18,99.983333
true-brute,1.50,1019,3.5,0,0,0,0.654644,19.673333,7,79.966667,8.753647,15.00,15.755167,0,17,100.000000
true-brute,1.50,1020,3.5,0,0,0,0.653613,37.566667,3,79.966667,3.751563,17.00,14.827833,0,17,99.916667
true-brute,1.50,1021,3.5,0,0,0,0.656424,7.333333,6,79.633333,7.534533,15.00,11.324000,0,13,99.933333
true-brute,1.50,1022,3.5,0,0,0,0.346903,7.553333,3,42.033333,7.137193,16.00,13.615337,0,15,99.969202
true-brute,1.50,1023,3.5,0,0,0,0.658615,11.140000,4,79.966667,5.002084,13.00,11.546833,0,15,99.966667
