complexity,object_count,triangles_per_mesh,mode,ray_count,median_ms,p95_ms
16x,100,1920,true-brute,361,349.34602050000001,443.36771839999994
16x,100,1920,mesh-bvh,0,4.1e-05,4.1999999999999998e-05
16x,100,1920,mesh-bvh,5,0.010437499999999999,0.013999699999999986
16x,100,1920,mesh-bvh,9,0.017687500000000002,0.0217101
16x,100,1920,mesh-bvh,17,0.035582999999999997,0.042469049999999987
16x,100,1920,mesh-bvh,33,0.071354000000000001,0.083090199999999961
16x,100,1920,mesh-bvh,65,0.1408335,0.16081284999999998
16x,100,1920,mesh-bvh,129,0.2805415,0.36292914999999998
16x,100,1920,mesh-bvh,257,0.57735449999999999,0.8745690499999994
16x,100,1920,mesh-bvh,361,0.80095899999999998,1.1113600999999993
16x,100,1920,scene-bvh,0,4.1e-05,4.1999999999999998e-05
16x,100,1920,scene-bvh,5,0.003375,0.0056249999999999998
16x,100,1920,scene-bvh,9,0.0073340000000000002,0.0093749999999999997
16x,100,1920,scene-bvh,17,0.012749999999999999,0.015941949999999993
16x,100,1920,scene-bvh,33,0.026333499999999999,0.032250000000000001
16x,100,1920,scene-bvh,65,0.051728999999999997,0.06325625
16x,100,1920,scene-bvh,129,0.10518749999999999,0.12698509999999977
16x,100,1920,scene-bvh,257,0.23375000000000001,0.89759439999999946
16x,100,1920,scene-bvh,361,0.28935449999999996,0.35925689999999999
16x,400,1920,true-brute,0,4.1999999999999998e-05,4.1999999999999998e-05
16x,400,1920,true-brute,5,22.398916499999999,29.190799649999995
16x,400,1920,true-brute,9,46.493207999999996,67.940022949999999
16x,400,1920,true-brute,17,68.751374499999997,94.356616349999996
16x,400,1920,true-brute,33,126.7645835,155.70742709999999
16x,400,1920,true-brute,65,312.74770799999999,439.46857324999991
16x,400,1920,true-brute,129,561.64616649999994,811.72748539999952
16x,400,1920,true-brute,257,983.58989550000001,1482.9412826999999
16x,400,1920,true-brute,361,1649.9695004999999,3436.7496857499996
16x,400,1920,mesh-bvh,0,4.1e-05,4.1999999999999998e-05
16x,400,1920,mesh-bvh,5,0.040437500000000001,0.048266649999999994
16x,400,1920,mesh-bvh,9,0.077604499999999993,0.088472599999999985
16x,400,1920,mesh-bvh,17,0.1518545,0.17408815
16x,400,1920,mesh-bvh,33,0.30035449999999997,0.34454789999999996
16x,400,1920,mesh-bvh,65,0.59577100000000005,0.67173715000000001
16x,400,1920,mesh-bvh,129,1.2382499999999999,2.2771249999999994
16x,400,1920,mesh-bvh,257,2.317062,2.7550350999999993
16x,400,1920,mesh-bvh,361,3.0214375000000002,3.6027610499999998
16x,400,1920,scene-bvh,0,4.1e-05,4.1999999999999998e-05
16x,400,1920,scene-bvh,5,0.0029164999999999998,0.0048360499999999989
16x,400,1920,scene-bvh,9,0.0065415000000000004,0.008964299999999998
16x,400,1920,scene-bvh,17,0.013521,0.018959
16x,400,1920,scene-bvh,33,0.0270835,0.034044100000000001
16x,400,1920,scene-bvh,65,0.0548955,0.070229499999999931
16x,400,1920,scene-bvh,129,0.10897899999999999,0.13622769999999998
16x,400,1920,scene-bvh,257,0.209396,0.26025684999999998
16x,400,1920,scene-bvh,361,0.30758350000000001,0.37324200000000002
